Nip	NiOp	NiO2p	NiN2p	Alt	Geometric Mean	Geometric STD	STD -	STD +						
WACCM	WACCM	WACCM	WACCM	WACCM	ROCKET	ROCKET	ROCKET	ROCKET						
					20.2428335791647	110	12.8781352462267	37.1335704373298						
					20.8018674251431	111	11.8156627218519	39.5771878171287						
					19.870233882975	112	14.5494359328497	34.5417317989934						
					19.017242880774	113	17.4919619432868	29.4918112117616						
					16.6682365830133	114	15.8052229962547	25.3751282383968						
					16.336428857511	115	8.9735067009021	31.3870800538105						
					14.1866094649948	116	1.4957557720986	33.5535153526162						
					9.31232547143408	117	2.7819714165316	20.224946960876						
					19.2450877551919	118	3.7752499009819	43.7714375480932						
					32.0581123971171	119	4	91.6924704372369						
					27.1489688314692	120	3	69.8283917955583						
					27.7558907836937	121	4	75.2677259167957						
					58.8317023955089	122	8	174.689594744583						
					66.8108458659028	123	9	162.658915174286						
					74.3062647361836	124	10	190.442903600696						
					81.1004402210015	125	11	217.994895381374						
